Headcount,3039,1551,4590,,0.6620915033,5264,2673,7937,,0.6632228802,3995,1524,5519,,0.7238630187,3429,1385,4814,,0.7122974657,,,,,,1561,495,2056,,,1255,574,1829,,,2816,1069,3885,,,1000,469,1469,,0.680735194,1833,497,2330,,0.786695279,742,162,904,,0.8207964602,741,226,967,,0.7662874871,500,152,652,,0.7668711656,321,59,380,,0.8447368421,188,43,231,,0.8138528139
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,288,319,607,0.1425886775,0.4744645799,237,297,534,0.0735233375,0.4438202247,171,98,269,0.0538754256,0.6356877323,113,74,187,0.0437631641,0.6042780749,0,0,0,0,0,46,32,78,0.0435267857,0.0256696429,41,28,69,0.0432060113,0.0256731371,87,60,147,0.043375627,0.0256712895,14,16,30,0.0236034618,0.4666666667,57,19,76,0.0374015748,0.75,22,6,28,0.0354879594,0.7857142857,10,8,18,0.0220588235,0.5555555556,6,4,10,0.0182481752,0.6,3,0,3,0.009118541,1,3,2,5,0.025,0.6
Native American,60,29,89,0.0209067418,0.6741573034,89,56,145,0.0199642021,0.6137931034,66,24,90,0.0180252353,0.7333333333,53,31,84,0.0196583197,0.630952381,0,0,0,0,0,20,13,33,0.0184151786,0.0111607143,13,11,24,0.0150281778,0.008140263,33,24,57,0.0168191207,0.0097373857,9,1,10,0.0078678206,0.9,15,6,21,0.0103346457,0.7142857143,2,4,6,0.0076045627,0.3333333333,7,2,9,0.0110294118,0.7777777778,3,4,7,0.0127737226,0.4285714286,2,0,2,0.0060790274,1,1,0,1,0.005,1
Pacific Islander,24,11,35,0.0082217524,0.6857142857,29,16,45,0.0061957869,0.6444444444,19,5,24,0.0048067294,0.7916666667,20,5,25,0.0058506904,0.8,0,0,0,0,0,6,2,8,0.0044642857,0.0033482143,6,0,6,0.0037570445,0.0037570445,12,2,14,0.0041310121,0.0035408675,3,0,3,0.0023603462,1,9,3,12,0.0059055118,0.75,0,0,0,0,0,1,2,3,0.0036764706,0.3333333333,0,1,1,0.0018248175,0,1,0,1,0.0030395137,1,0,0,0,0,0
Multiracial,210,95,305,0.0716466996,0.6885245902,305,168,473,0.0651246042,0.644820296,174,70,244,0.0488684158,0.7131147541,130,58,188,0.0439971917,0.6914893617,0,0,0,0,0,47,9,56,0.03125,0.0262276786,50,26,76,0.0475892298,0.0313087038,97,35,132,0.0389495426,0.0286220124,30,23,53,0.0416994493,0.5660377358,47,16,63,0.031003937,0.746031746,16,4,20,0.0253485425,0.8,16,7,23,0.0281862745,0.6956521739,12,6,18,0.0328467153,0.6666666667,3,3,6,0.0182370821,0.5,3,1,4,0.02,0.75
Foreign/International,31,8,39,0.0091613813,0.7948717949,46,5,51,0.0070218918,0.9019607843,35,3,38,0.0076106549,0.9210526316,49,8,57,0.0133395741,0.8596491228,0,0,0,0,0,42,4,46,0.0256696429,0.0234375,20,3,23,0.0144020038,0.0125234815,62,7,69,0.0203599882,0.0182944821,32,14,46,0.0361919748,0.6956521739,62,16,78,0.0383858268,0.7948717949,46,9,55,0.0697084918,0.8363636364,33,1,34,0.0416666667,0.9705882353,19,5,24,0.0437956204,0.7916666667,17,1,18,0.0547112462,0.9444444444,8,2,10,0.05,0.8
,,,4257,,,,,7263,,,,,4993,,,,,4273,,,,,0,,,,,1792,,,,,1597,,,,,3389,,,,,1271,,,,,2032,,,,,789,,,,,816,,,,,548,,,,,329,,,,,200,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age: 19 \& less,896,490,1386,0.3019607843,0.6464646465,1581,802,2383,0.3002772177,0.6634494335,1039,458,1497,0.2712447907,0.6940547762,890,423,1313,0.2728028257,0.6778370145,0,0,0,0,0,444,122,566,0.2752918288,0.2159533074,275,126,401,0.2193654267,0.1504376368,719,248,967,0.2489701339,0.1851184346,303,163,466,0.3172226004,0.6502145923,307,115,422,0.1811158798,0.7274881517,93,22,115,0.1272123894,0.8086956522,187,57,244,0.2523267839,0.7663934426,120,32,152,0.2331288344,0.7894736842,70,11,81,0.2131578947,0.8641975309,32,7,39,0.1688311688,0.8205128205
20-24,657,364,1021,0.2224400871,0.6434867777,1271,695,1966,0.2477318548,0.6464903357,993,467,1460,0.2645406777,0.6801369863,893,452,1345,0.2794514856,0.6639405204,0,0,0,0,0,452,179,631,0.3069066148,0.219844358,332,189,521,0.2850109409,0.181619256,784,368,1152,0.2966014418,0.201853759,244,141,385,0.2620830497,0.6337662338,554,173,727,0.3120171674,0.7620357634,265,69,334,0.3694690265,0.7934131737,201,65,266,0.2750775595,0.7556390977,136,52,188,0.2883435583,0.7234042553,87,15,102,0.2684210526,0.8529411765,59,13,72,0.3116883117,0.8194444444
25-29,548,231,779,0.1697167756,0.703465982,1001,472,1473,0.185609879,0.6795655126,817,280,1097,0.1987678927,0.7447584321,754,225,979,0.2034074382,0.7701736466,0,0,0,0,0,298,98,396,0.1926070039,0.1449416342,313,117,430,0.2352297593,0.1712253829,611,215,826,0.2126673532,0.1573120494,234,76,310,0.2110279101,0.7548387097,435,100,535,0.2296137339,0.8130841121,178,38,216,0.2389380531,0.8240740741,183,42,225,0.2326783868,0.8133333333,132,31,163,0.25,0.8098159509,93,21,114,0.3,0.8157894737,53,14,67,0.29004329,0.7910447761
30-39,509,250,759,0.1653594771,0.6706192358,906,427,1333,0.16796875,0.6796699175,769,212,981,0.1777495923,0.7838939857,649,199,848,0.1761894868,0.7653301887,0,0,0,0,0,260,68,328,0.1595330739,0.126459144,243,98,341,0.1865426696,0.1329321663,503,166,669,0.1722451081,0.1295056643,166,68,234,0.1592920354,0.7094017094,389,81,470,0.2017167382,0.8276595745,154,24,178,0.1969026549,0.8651685393,127,50,177,0.1830403309,0.7175141243,87,26,113,0.1733128834,0.7699115044,56,7,63,0.1657894737,0.8888888889,39,4,43,0.1861471861,0.9069767442
40-49,261,151,412,0.0897603486,0.6334951456,364,178,542,0.068296371,0.6715867159,277,79,356,0.0645044392,0.7780898876,193,63,256,0.053189279,0.75390625,0,0,0,0,0,84,23,107,0.0520428016,0.0408560311,73,29,102,0.0557986871,0.0399343545,157,52,209,0.0538105046,0.0404222451,44,17,61,0.0415248468,0.7213114754,120,21,141,0.0605150215,0.8510638298,44,7,51,0.0564159292,0.862745098,38,9,47,0.0486039297,0.8085106383,22,11,33,0.0506134969,0.6666666667,14,4,18,0.0473684211,0.7777777778,5,4,9,0.038961039,0.5555555556
50+,168,65,233,0.0507625272,0.7210300429,140,99,239,0.0301159274,0.5857740586,100,28,128,0.0231926074,0.78125,50,22,72,0.0149594847,0.6944444444,0,0,0,0,0,23,5,28,0.013618677,0.0111867704,19,14,33,0.0180525164,0.0103938731,42,19,61,0.0157054583,0.0108135942,9,4,13,0.0088495575,0.6923076923,28,7,35,0.0150214592,0.8,8,2,10,0.0110619469,0.8,5,3,8,0.0082730093,0.625,3,0,3,0.004601227,1,1,1,2,0.0052631579,0.5,0,1,1,0.0043290043,0
