Headcount,3354,1775,5129,,,5481,2838,8319,,,4053,1703,5756,,,3545,1547,5092,,,2471,1254,3725,,,1116,501,1617,,,1959,550,2509,,,815,189,1004,,,749,234,983,,,557,165,722,,,337,86,423,,,271,43,314,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native American,35,34,69,0.0145416228,0.5072463768,67,47,114,0.0149743859,0.5877192982,56,30,86,0.0163778328,0.6511627907,51,22,73,0.0158523344,0.698630137,25,18,43,0.0129401144,0.5813953488,6,2,8,0.0056858564,0.75,19,6,25,0.0112764998,0.76,10,1,11,0.012345679,0.9090909091,4,1,5,0.0059311981,0.8,1,1,2,0.0032154341,0.5,2,0,2,0.0054794521,1,2,0,2,0.0078431373,1
Pacific Islander,26,10,36,0.0075869336,0.7222222222,42,20,62,0.0081439643,0.6774193548,32,16,48,0.009141116,0.6666666667,25,12,37,0.0080347448,0.6756756757,9,9,18,0.0054167921,0.5,0,2,2,0.0014214641,0,4,2,6,0.0027063599,0.6666666667,3,0,3,0.0033670034,1,1,1,2,0.0023724792,0.5,1,1,2,0.0032154341,0.5,1,0,1,0.002739726,1,1,1,2,0.0078431373,0.5
Multiracial,296,172,468,0.098630137,0.6324786325,504,245,749,0.0983843426,0.6728971963,300,140,440,0.0837935631,0.6818181818,228,110,338,0.0733984799,0.674556213,135,69,204,0.06139031,0.6617647059,55,26,81,0.0575692964,0.6790123457,84,18,102,0.0460081191,0.8235294118,29,7,36,0.0404040404,0.8055555556,27,16,43,0.0510083037,0.6279069767,22,5,27,0.0434083601,0.8148148148,12,9,21,0.0575342466,0.5714285714,6,0,6,0.0235294118,1
Foreign/International,36,8,44,0.0092729189,0.8181818182,59,13,72,0.0094575069,0.8194444444,49,13,62,0.0118072748,0.7903225806,63,11,74,0.0160694897,0.8513513514,62,21,83,0.02497743,0.7469879518,33,10,43,0.0305614783,0.7674418605,76,17,93,0.0419485792,0.8172043011,57,16,73,0.0819304153,0.7808219178,30,5,35,0.0415183867,0.8571428571,21,5,26,0.0418006431,0.8076923077,13,3,16,0.0438356164,0.8125,8,4,12,0.0470588235,0.6666666667
,,,4745,,,,,7613,,,,,5251,,,,,4606,,,,,3323,,,,,1407,,,,,2217,,,,,891,,,,,843,,,,,622,,,,,365,,,,,255,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age: 19 \& less,1045,558,1603,0.3125975039,0.6519026825,1776,803,2579,0.3100504929,0.6886390074,1081,544,1625,0.2823631625,0.6652307692,1000,470,1470,0.2886881383,0.6802721088,683,340,1023,0.27485223,0.6676441838,323,159,482,0.2980828695,0.6701244813,318,94,412,0.1642088481,0.7718446602,117,29,146,0.1454183267,0.801369863,194,58,252,0.2563580875,0.7698412698,149,29,178,0.2465373961,0.8370786517,70,17,87,0.2056737589,0.8045977011,48,9,57,0.1815286624,0.8421052632
20-24,748,392,1140,0.2223088924,0.6561403509,1307,773,2080,0.2500601106,0.6283653846,1023,486,1509,0.2622067767,0.6779324056,930,481,1411,0.2771013354,0.6591070163,667,414,1081,0.2904352499,0.6170212766,292,157,449,0.2776747062,0.6503340757,617,202,819,0.3264248705,0.7533577534,295,77,372,0.3705179283,0.7930107527,203,67,270,0.2746693795,0.7518518519,145,61,206,0.2853185596,0.7038834951,85,32,117,0.2765957447,0.7264957265,70,18,88,0.2802547771,0.7954545455
25-29,534,270,804,0.1567862715,0.6641791045,972,482,1454,0.174801635,0.6685006878,817,320,1137,0.1975673328,0.7185576077,680,267,947,0.1859780047,0.7180570222,512,211,723,0.194250403,0.7081604426,236,89,325,0.2009894867,0.7261538462,455,106,561,0.2235950578,0.8110516934,175,42,217,0.2161354582,0.8064516129,164,59,223,0.2268565615,0.735426009,131,37,168,0.2326869806,0.7797619048,93,18,111,0.2624113475,0.8378378378,75,10,85,0.2707006369,0.8823529412
30-39,584,295,879,0.1714118565,0.6643913538,937,480,1417,0.1703534503,0.661256175,763,239,1002,0.17410947,0.7614770459,677,220,897,0.1761586803,0.7547380156,462,204,666,0.1789360559,0.6936936937,205,71,276,0.1706864564,0.7427536232,419,106,525,0.2092467118,0.7980952381,176,29,205,0.2041832669,0.8585365854,147,35,182,0.1851475076,0.8076923077,105,25,130,0.1800554017,0.8076923077,71,13,84,0.1985815603,0.8452380952,60,4,64,0.2038216561,0.9375
40-49,296,188,484,0.0943837754,0.6115702479,357,194,551,0.0662418851,0.6479128857,275,78,353,0.061337967,0.7790368272,197,83,280,0.0549882168,0.7035714286,118,63,181,0.0486297689,0.6519337017,52,20,72,0.0445269017,0.7222222222,117,34,151,0.06018334,0.7748344371,40,10,50,0.0498007968,0.8,32,11,43,0.0437436419,0.7441860465,20,11,31,0.0429362881,0.6451612903,13,4,17,0.0401891253,0.7647058824,15,2,17,0.0541401274,0.8823529412
50+,146,72,218,0.0425117005,0.6697247706,131,106,237,0.0284924261,0.552742616,94,35,129,0.0224152911,0.7286821705,61,26,87,0.0170856245,0.7011494253,29,19,48,0.0128962923,0.6041666667,8,5,13,0.0080395795,0.6153846154,33,8,41,0.0163411718,0.8048780488,12,2,14,0.0139442231,0.8571428571,9,4,13,0.013224822,0.6923076923,7,2,9,0.012465374,0.7777777778,5,2,7,0.0165484634,0.7142857143,3,0,3,0.0095541401,1
