% demographic data from 2008-2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% This data was produced using the banner command: SWRDEPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% CAMPUS CODE: P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% SUBJECT CODE: MTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% COURSE NUMBER: have to specify individually- this means that a separate report has to be done for each and every subject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Note that the percentages were calculated using totals of students that chose to identify,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% which may be different from the actual total.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Note that this year contains data for MTH 111A. B. and C separately,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%,MTH 20,,,,,MTH 60,,,,,MTH 65 ,,,,,MTH 95,,,,,MTH 111A,,,,,MTH 111B,,,,,MTH 111C,,,,,MTH 111B and C combined,,,,,MTH 112,,,,,MTH 243,,,,,MTH 244,,,,,MTH 251,,,,,MTH 252,,,,,MTH 253,,,,,MTH 254,,,,
demographic,mth20p,mth20np,mth20tot,mth20totper,mth20totpass,mth60p,mth60np,mth60tot,mth60totper,mth60totpass,mth65p,mth65np,mth65tot,mth65totper,mth65totpass,mth95p,mth95np,mth95tot,mth95totper,mth95totpass,mth111Ap,mth111Anp,mth111Atot,mth111Atotper,mth111Atotpass,mth111Bp,mth111Bnp,mth111Btot,mth111Btotper,mth111Btotpass,mth111Cp,mth111Cnp,mth111Ctot,mth111Ctotper,mth111Ctotpass,mth111BCp,mth111BCnp,mth111BCtot,mth111BCtotper,mth111BCtotpass,mth112p,mth112np,mth112tot,mth112totper,mth112totpass,mth243p,mth243np,mth243tot,mth243totper,mth243totpass,mth244p,mth244np,mth244tot,mth244totper,mth244totpass,mth251p,mth251np,mth251tot,mth251totper,mth251totpass,mth252p,mth252np,mth252tot,mth252totper,mth252totpass,mth253p,mth253np,mth253tot,mth253totper,mth253totpass,mth254p,mth254np,mth254tot,mth254totper,mth254totpass
%,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass
Headcount,2568,1082,3650,,0.7035616438,4149,1890,6039,,0.6870342772,2947,1059,4006,,0.7356465302,2535,1005,3540,,0.7161016949,10,4,14,,,1237,340,1577,,,898,374,1272,,,2135,714,2849,,,701,283,984,,0.712398374,1418,,1780,,,587,105,692,,,483,158,641,,0.7535101404,363,107,470,,0.7723404255,242,59,301,,0.803986711,156,30,186,,0.8387096774
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,1652,557,2209,0.6105583195,0.7478497057,2342,924,3266,0.5464279739,0.7170851194,1707,575,2282,0.5761171421,0.7480280456,1430,535,1965,0.5623926732,0.727735369,5,3,8,0.6153846154,0.625,719,172,891,0.5715202053,0.8069584736,405,168,573,0.4554848967,0.7068062827,1124,340,1464,0.5197018104,0.7677595628,233,88,321,0.3292307692,0.7258566978,814,,1021,0.5814350797,0.7972575906,307,47,354,0.5198237885,0.8672316384,154,39,193,0.3044164038,0.7979274611,104,24,128,0.275862069,0.8125,50,11,61,0.2060810811,0.8196721311,34,2,36,0.1956521739,0.9444444444
Male,897,512,1409,0.3894416805,0.6366217175,1771,940,2711,0.4535720261,0.6532644781,1211,468,1679,0.4238828579,0.7212626563,1073,456,1529,0.4376073268,0.70176586,4,1,5,0.3846153846,0.8,503,165,668,0.4284797947,0.752994012,483,202,685,0.5445151033,0.7051094891,986,367,1353,0.4802981896,0.7287509239,463,191,654,0.6707692308,0.7079510703,586,,735,0.4185649203,0.7972789116,272,55,327,0.4801762115,0.8318042813,326,115,441,0.6955835962,0.7392290249,253,83,336,0.724137931,0.7529761905,188,47,235,0.7939189189,0.8,120,28,148,0.8043478261,0.8108108108
,,,3618,,,,,5977,,,,,3961,,,,,3494,,,,,13,,,,,1559,,,,,1258,,,,,2817,,,,,975,,,,,1756,,,,,681,,,,,634,,,,,464,,,,,296,,,,,184,,
,,,,,,,,,,,,,,,,,,,,,,,,,0.6666666667,,,,,0.7834843907,,,,,0.7150063052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,1526,541,2067,0.6445275959,0.7382680213,2713,1144,3857,0.7471910112,0.7033964221,1916,695,2611,0.7605592776,0.7338184604,1649,612,2261,0.749668435,0.7293233083,4,2,6,0.6666666667,1,778,215,993,0.732300885,0.8450704225,567,226,793,0.7411214953,0.765625,1345,441,1786,0.7361912613,0.7530795073,439,174,613,0.7412333736,0.7161500816,882,,1091,0.7107491857,0.8084326306,326,55,381,0.6479591837,0.8556430446,294,93,387,0.719330855,0.7596899225,230,49,279,0.7117346939,0.8243727599,149,37,186,0.7237354086,0.8010752688,101,15,116,0.7295597484,0.8706896552
Asian,138,42,180,0.0561272217,0.7666666667,214,98,312,0.0604416893,0.6858974359,168,57,225,0.0655403437,0.7466666667,214,76,290,0.0961538462,0.7379310345,2,0,2,0.2222222222,1,120,22,142,0.104719764,0.7216494845,98,30,128,0.1196261682,0.6666666667,218,52,270,0.1112943116,0.8074074074,73,31,104,0.1257557437,0.7019230769,155,,202,0.1315960912,0.7673267327,80,10,90,0.1530612245,0.8888888889,58,12,70,0.1301115242,0.8285714286,42,11,53,0.1352040816,0.7924528302,33,2,35,0.1361867704,0.9428571429,19,3,22,0.1383647799,0.8636363636
Hispanic,250,108,358,0.1116308076,0.6983240223,301,144,445,0.0862068966,0.6764044944,240,68,308,0.0897174483,0.7792207792,148,88,236,0.0782493369,0.6271186441,1,0,1,0.1111111111,0,70,27,97,0.0715339233,0.6444444444,38,19,57,0.053271028,0.4857142857,108,46,154,0.0634789777,0.7012987013,28,15,43,0.0519951632,0.6511627907,66,,91,0.0592833876,0.7252747253,31,5,36,0.0612244898,0.8611111111,16,9,25,0.0464684015,0.64,15,6,21,0.0535714286,0.7142857143,10,1,11,0.0428015564,0.9090909091,7,2,9,0.0566037736,0.7777777778
