Headcount,2986,1548,4534,,,4966,2539,7505,,,3925,1690,5615,,,3500,1605,5105,,,2760,1518,4278,,,1142,471,1613,,,1763,524,2287,,,745,140,885,,,832,228,1060,,,536,174,710,,,360,86,446,,,180,39,219,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific Islander,31,14,45,0.0106862978,0.6888888889,37,20,57,0.0082191781,0.649122807,18,14,32,0.0061991476,0.5625,23,13,36,0.0076857387,0.6388888889,18,6,24,0.0061208875,0.75,5,2,7,0.0048010974,0.7142857143,7,3,10,0.0048239267,0.7,3,0,3,0.003875969,1,2,1,3,0.0031982942,0.6666666667,1,0,1,0.0016155089,1,1,0,1,0.0026737968,1,0,0,0,0,0
Multiracial,314,174,488,0.1158869627,0.643442623,471,266,737,0.1062725306,0.6390773406,366,176,542,0.1049980628,0.6752767528,302,165,467,0.0997011102,0.6466809422,217,126,343,0.0874776843,0.6326530612,74,42,116,0.0795610425,0.6379310345,99,43,142,0.0684997588,0.6971830986,39,8,47,0.0607235142,0.829787234,62,17,79,0.0842217484,0.7848101266,37,11,48,0.0775444265,0.7708333333,22,4,26,0.0695187166,0.8461538462,9,1,10,0.0520833333,0.9
Foreign/International,22,4,26,0.0061743054,0.8461538462,46,4,50,0.0072098053,0.92,30,9,39,0.0075552112,0.7692307692,48,6,54,0.011528608,0.8888888889,68,27,95,0.0242285131,0.7157894737,34,3,37,0.0253772291,0.9189189189,73,15,88,0.0424505548,0.8295454545,34,3,37,0.0478036176,0.9189189189,32,2,34,0.0362473348,0.9411764706,20,4,24,0.0387722132,0.8333333333,9,4,13,0.0347593583,0.6923076923,8,3,11,0.0572916667,0.7272727273
,,,4211,,,,,6935,,,,,5162,,,,,4684,,,,,3921,,,,,1458,,,,,2073,,,,,774,,,,,938,,,,,619,,,,,374,,,,,192,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age: 19 \& less,926,458,1384,0.3052492281,0.6690751445,1690,684,2374,0.3163224517,0.7118786858,1096,514,1610,0.2867830424,0.6807453416,1001,464,1465,0.2870297806,0.6832764505,745,411,1156,0.2702197288,0.6444636678,328,155,483,0.2994420335,0.6790890269,329,77,406,0.1775251421,0.8103448276,119,13,132,0.1491525424,0.9015151515,229,56,285,0.2688679245,0.8035087719,119,42,161,0.2267605634,0.7391304348,71,16,87,0.2,0.816091954,25,4,29,0.1324200913,0.8620689655
20-24,679,317,996,0.2196735774,0.6817269076,1145,662,1807,0.2407728181,0.6336469286,1021,461,1482,0.2639828999,0.6889338731,920,492,1412,0.276645768,0.6515580737,767,528,1295,0.3027115475,0.5922779923,327,131,458,0.2839429634,0.7139737991,530,182,712,0.3113248798,0.7443820225,268,66,334,0.3774011299,0.8023952096,241,77,318,0.3,0.7578616352,162,51,213,0.3,0.7605633803,106,21,127,0.291954023,0.8346456693,53,14,67,0.3059360731,0.7910447761
25-29,428,251,679,0.1497573886,0.6303387334,843,411,1254,0.1670886076,0.6722488038,719,310,1029,0.1832917706,0.6987366375,652,272,924,0.1810344828,0.7056277056,545,265,810,0.1893408135,0.6728395062,239,95,334,0.2070675759,0.7155688623,394,124,518,0.2264975951,0.7606177606,141,33,174,0.1966101695,0.8103448276,181,52,233,0.2198113208,0.7768240343,129,37,166,0.2338028169,0.7771084337,89,22,111,0.2551724138,0.8018018018,43,10,53,0.2420091324,0.8113207547
30-39,525,260,785,0.1731363035,0.6687898089,830,463,1293,0.1722851432,0.6419180201,708,273,981,0.1747417171,0.7217125382,641,259,900,0.1763322884,0.7122222222,504,232,736,0.1720430108,0.6847826087,179,69,248,0.153750775,0.7217741935,364,90,454,0.1985133362,0.8017621145,158,23,181,0.204519774,0.8729281768,140,30,170,0.1603773585,0.8235294118,93,36,129,0.1816901408,0.7209302326,68,10,78,0.1793103448,0.8717948718,50,10,60,0.2739726027,0.8333333333
40-49,276,182,458,0.1010145567,0.6026200873,333,214,547,0.0728847435,0.6087751371,276,93,369,0.0657285358,0.7479674797,232,92,324,0.0634796238,0.7160493827,165,67,232,0.054230949,0.7112068966,54,16,70,0.0433973962,0.7714285714,117,41,158,0.069086139,0.7405063291,44,3,47,0.0531073446,0.9361702128,34,10,44,0.041509434,0.7727272727,26,6,32,0.0450704225,0.8125,19,4,23,0.0528735632,0.8260869565,8,1,9,0.0410958904,0.8888888889
50+,152,80,232,0.0511689457,0.6551724138,125,105,230,0.0306462358,0.5434782609,104,39,143,0.0254720342,0.7272727273,53,26,79,0.0154780564,0.6708860759,34,15,49,0.0114539504,0.693877551,15,5,20,0.012399256,0.75,29,10,39,0.0170529077,0.7435897436,15,2,17,0.0192090395,0.8823529412,7,3,10,0.0094339623,0.7,7,2,9,0.0126760563,0.7777777778,7,2,9,0.0206896552,0.7777777778,1,0,1,0.00456621,1
