% demographic data from 2009-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% This data was produced using the banner command: SWRDEPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% CAMPUS CODE: P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% SUBJECT CODE: MTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% COURSE NUMBER: have to specify individually- this means that a separate report has to be done for each and every subject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Note that the percentages were calculated using totals of students that chose to identify,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% which may be different from the actual total.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Note that this year contains data for MTH 111A. B. and C separately,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%,MTH 20,,,,,MTH 60,,,,,MTH 65 ,,,,,MTH 95,,,,,MTH 111A,,,,,MTH 111B,,,,,MTH 111C,,,,,MTH 111B and C combined,,,,,MTH 112,,,,,MTH 243,,,,,MTH 244,,,,,MTH 251,,,,,MTH 252,,,,,MTH 253,,,,,MTH 254,,,,
demographic,mth20p,mth20np,mth20tot,mth20totper,mth20totpass,mth60p,mth60np,mth60tot,mth60totper,mth60totpass,mth65p,mth65np,mth65tot,mth65totper,mth65totpass,mth95p,mth95np,mth95tot,mth95totper,mth95totpass,mth111Ap,mth111Anp,mth111Atot,mth111Atotper,mth111Atotpass,mth111Bp,mth111Bnp,mth111Btot,mth111Btotper,mth111Btotpass,mth111Cp,mth111Cnp,mth111Ctot,mth111Ctotper,mth111Ctotpass,mth111BCp,mth111BCnp,mth111BCtot,mth111BCtotper,mth111BCtotpass,mth112p,mth112np,mth112tot,mth112totper,mth112totpass,mth243p,mth243np,mth243tot,mth243totper,mth243totpass,mth244p,mth244np,mth244tot,mth244totper,mth244totpass,mth251p,mth251np,mth251tot,mth251totper,mth251totpass,mth252p,mth252np,mth252tot,mth252totper,mth252totpass,mth253p,mth253np,mth253tot,mth253totper,mth253totpass,mth254p,mth254np,mth254tot,mth254totper,mth254totpass
%,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass,P,NP,Total,% Total,% Pass
Headcount,3175,1498,4673,,0.6794350524,5164,2550,7714,,0.6694322012,3749,1441,5190,,0.7223506744,3135,1217,4352,,0.7203584559,0,0,,,,1485,403,1888,,,1202,417,1619,,,2687,820,3507,,,836,400,1236,,0.6763754045,1782,437,2219,,0.8030644434,717,142,859,,0.8346915017,566,214,780,,0.7256410256,413,107,520,,0.7942307692,291,68,359,,0.8105849582,186,31,217,,0.8571428571
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,1957,787,2744,0.5939393939,0.7131924198,2709,1222,3931,0.5147309153,0.689137624,2058,756,2814,0.547364326,0.7313432836,1747,614,2361,0.547922952,0.7399407031,0,0,,,,837,254,1091,0.5827991453,0.4471153846,490,186,676,0.4227642276,0.306441526,1327,440,1767,0.5090751945,0.3823105733,276,130,406,0.3314285714,0.6798029557,1056,216,1272,0.5787079163,0.8301886792,373,68,441,0.5218934911,0.8458049887,152,58,210,0.2709677419,0.7238095238,114,23,137,0.2649903288,0.8321167883,73,12,85,0.2374301676,0.8588235294,43,4,47,0.2175925926,0.914893617
Male,1183,693,1876,0.4060606061,0.6305970149,2406,1300,3706,0.4852690847,0.6492174852,1660,667,2327,0.452635674,0.7133648474,1360,588,1948,0.452077048,0.6981519507,0,0,,,,633,148,781,0.4172008547,0.3381410256,693,230,923,0.5772357724,0.4333958724,1326,378,1704,0.4909248055,0.3820224719,553,266,819,0.6685714286,0.6752136752,707,219,926,0.4212920837,0.7634989201,334,70,404,0.4781065089,0.8267326733,410,155,565,0.7290322581,0.7256637168,298,82,380,0.7350096712,0.7842105263,217,56,273,0.7625698324,0.7948717949,142,27,169,0.7824074074,0.8402366864
,,,4620,,,,,7637,,,,,5141,,,,,4309,,,,,,,,,,1872,,,,,1599,,,,,3471,,,,,1225,,,,,2198,,,,,845,,,,,775,,,,,517,,,,,358,,,,,216,,
White,1889,771,2660,0.6346933906,0.7101503759,3369,1582,4951,0.7314226621,0.6804685922,2456,907,3363,0.7498327759,0.7303003271,2031,756,2787,0.7510105093,0.7287405813,0,0,,,,951,244,1195,0.7464084947,0.5940037477,777,253,1030,0.7646622123,0.5768374165,1728,497,2225,0.7547489824,0.5861601085,512,272,784,0.7466666667,0.6530612245,1086,273,1359,0.7282958199,0.7991169978,426,78,504,0.6904109589,0.8452380952,346,135,481,0.7243975904,0.7193347193,257,58,315,0.7464454976,0.8158730159,190,47,237,0.7953020134,0.8016877637,118,21,139,0.7637362637,0.8489208633
Asian,139,49,188,0.0448580291,0.7393617021,260,92,352,0.0520017728,0.7386363636,184,73,257,0.0573021182,0.7159533074,199,63,262,0.0706009162,0.7595419847,0,0,,,,101,23,124,0.0774515928,0.0630855715,98,41,139,0.1031922791,0.0727542687,199,64,263,0.0892130258,0.0675033921,95,33,128,0.1219047619,0.7421875,208,36,244,0.1307609861,0.8524590164,88,13,101,0.1383561644,0.8712871287,59,29,88,0.1325301205,0.6704545455,49,9,58,0.1374407583,0.8448275862,27,5,32,0.1073825503,0.84375,19,2,21,0.1153846154,0.9047619048
Hispanic,298,124,422,0.100691959,0.7061611374,374,192,566,0.0836164869,0.6607773852,253,119,372,0.0829431438,0.6801075269,204,104,308,0.0829964969,0.6623376623,0,0,,,,95,30,125,0.0780762024,0.0593379138,48,23,71,0.0527097253,0.0356347439,143,53,196,0.0664857531,0.0485074627,43,12,55,0.0523809524,0.7818181818,63,27,90,0.0482315113,0.7,36,7,43,0.0589041096,0.8372093023,23,8,31,0.046686747,0.7419354839,10,4,14,0.0331753555,0.7142857143,7,3,10,0.033557047,0.7,7,0,7,0.0384615385,1
Black,330,306,636,0.1517537581,0.5188679245,227,275,502,0.0741616191,0.4521912351,159,101,260,0.0579710145,0.6115384615,121,61,182,0.0490433845,0.6648351648,0,0,,,,50,24,74,0.0462211118,0.0312304809,22,15,37,0.0274684484,0.0163325909,72,39,111,0.0376526459,0.0244233379,19,5,24,0.0228571429,0.7916666667,40,14,54,0.0289389068,0.7407407407,19,8,27,0.0369863014,0.7037037037,12,5,17,0.0256024096,0.7058823529,8,4,12,0.028436019,0.6666666667,5,0,5,0.0167785235,1,3,2,5,0.0274725275,0.6
