% demographic data from 2009-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% This data was produced using the banner command: SWRDEPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% CAMPUS CODE: P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% SUBJECT CODE: MTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% COURSE NUMBER: have to specify individually- this means that a separate report has to be done for each and every subject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Note that the percentages were calculated using totals of students that chose to identify,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% which may be different from the actual total.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Note that this year contains data for MTH 111A. B. and C separately,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%,MTH 20,,,,,MTH 60,,,,,MTH 65 ,,,,,MTH 95,,,,,MTH 111A,,,,,MTH 111B,,,,,MTH 111C,,,,,MTH 111B and C combined,,,,,MTH 112,,,,,MTH 243,,,,,MTH 244,,,,,MTH 251,,,,,MTH 252,,,,,MTH 253,,,,,MTH 254,,,,
demographic,mth20p,mth20np,mth20tot,mth20totper,mth20totpass,mth60p,mth60np,mth60tot,mth60totper,mth60totpass,mth65p,mth65np,mth65tot,mth65totper,mth65totpass,mth95p,mth95np,mth95tot,mth95totper,mth95totpass,mth111Ap,mth111Anp,mth111Atot,mth111Atotper,mth111Atotpass,mth111Bp,mth111Bnp,mth111Btot,mth111Btotper,mth111Btotpass,mth111Cp,mth111Cnp,mth111Ctot,mth111Ctotper,mth111Ctotpass,mth111BCp,mth111BCnp,mth111BCtot,mth111BCtotper,mth111BCtotpass,mth112p,mth112np,mth112tot,mth112totper,mth112totpass,mth243p,mth243np,mth243tot,mth243totper,mth243totpass,mth244p,mth244np,mth244tot,mth244totper,mth244totpass,mth251p,mth251np,mth251tot,mth251totper,mth251totpass,mth252p,mth252np,mth252tot,mth252totper,mth252totpass,mth253p,mth253np,mth253tot,mth253totper,mth253totpass,mth254p,mth254np,mth254tot,mth254totper,mth254totpass
Native American,64,34,98,0.0233834407,0.6530612245,78,43,121,0.0178756094,0.6446280992,59,30,89,0.0198439242,0.6629213483,43,25,68,0.0183239019,0.6323529412,0,0,,,,24,4,28,0.0174890693,0.0149906309,11,10,21,0.0155902004,0.0081662955,35,14,49,0.0166214383,0.0118724559,4,8,12,0.0114285714,0.3333333333,18,8,26,0.0139335477,0.6923076923,11,2,13,0.0178082192,0.8461538462,5,2,7,0.0105421687,0.7142857143,1,1,2,0.0047393365,0.5,0,1,1,0.0033557047,0,2,0,2,0.010989011,1
Pacific Islander,11,5,16,0.0038177046,0.6875,20,13,33,0.0048751662,0.6060606061,8,7,15,0.0033444816,0.5333333333,2,3,5,0.0013473457,0.4,0,0,,,,2,2,4,0.0024984385,0.0012492192,1,0,1,0.0007423905,0.0007423905,3,2,5,0.0016960651,0.0010176391,0,1,1,0.000952381,0,3,1,4,0.0021436227,0.75,0,0,0,0,0,0,1,1,0.0015060241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Multiracial,81,67,148,0.0353137676,0.5472972973,117,80,197,0.0291032649,0.5939086294,59,32,91,0.0202898551,0.6483516484,36,19,55,0.014820803,0.6545454545,0,0,,,,20,4,24,0.0149906309,0.0124921924,16,5,21,0.0155902004,0.011878248,36,9,45,0.0152645862,0.0122116689,9,6,15,0.0142857143,0.6,17,4,21,0.0112540193,0.8095238095,5,2,7,0.0095890411,0.7142857143,5,3,8,0.0120481928,0.625,2,0,2,0.0047393365,1,2,0,2,0.0067114094,1,1,0,1,0.0054945055,1
Foreign/International,20,3,23,0.0054879504,0.8695652174,40,7,47,0.0069434185,0.8510638298,33,5,38,0.0084726867,0.8684210526,37,7,44,0.0118566424,0.8409090909,0,0,,,,25,2,27,0.0168644597,0.0156152405,27,0,27,0.0200445434,0.0200445434,52,2,54,0.0183175034,0.0176390773,26,5,31,0.0295238095,0.8387096774,55,13,68,0.0364415863,0.8088235294,31,4,35,0.0479452055,0.8857142857,25,6,31,0.046686747,0.8064516129,18,1,19,0.0450236967,0.9473684211,10,1,11,0.0369127517,0.9090909091,7,0,7,0.0384615385,1
,,,4191,,,,,6769,,,,,4485,,,,,3711,,,,,,,,,,1601,,,,,1347,,,,,2948,,,,,1050,,,,,1866,,,,,730,,,,,664,,,,,422,,,,,298,,,,,182,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age: 19 \& less,953,566,1519,0.3250588487,0.6273864384,1535,879,2414,0.3129375162,0.6358740679,972,565,1537,0.2961464355,0.6324007807,815,431,1246,0.2863051471,0.6540930979,0,0,,,,428,116,544,0.2881355932,0.2266949153,311,133,444,0.2742433601,0.1920938851,739,249,988,0.2817222697,0.2107214143,228,155,383,0.3098705502,0.5953002611,311,113,424,0.1910770617,0.733490566,102,31,133,0.1548311991,0.7669172932,148,60,208,0.2666666667,0.7115384615,87,31,118,0.226487524,0.7372881356,57,16,73,0.2033426184,0.7808219178,31,5,36,0.1643835616,0.8611111111
20-24,676,303,979,0.209501391,0.6905005107,1232,588,1820,0.2359346642,0.6769230769,939,389,1328,0.2558766859,0.7070783133,806,372,1178,0.2706801471,0.6842105263,0,0,,,,467,144,611,0.3236228814,0.2473516949,333,126,459,0.2835083385,0.2056825201,800,270,1070,0.3051040776,0.2281151982,251,125,376,0.3042071197,0.6675531915,544,162,706,0.3181613339,0.7705382436,283,53,336,0.3911525029,0.8422619048,175,70,245,0.3141025641,0.7142857143,137,39,176,0.3378119002,0.7784090909,89,25,114,0.3175487465,0.7807017544,51,12,63,0.2876712329,0.8095238095
25-29,546,217,763,0.1632784079,0.7155963303,1007,436,1443,0.1870624838,0.6978516979,777,224,1001,0.1928709056,0.7762237762,653,178,831,0.1909466912,0.7858002407,0,0,,,,281,66,347,0.1837923729,0.1488347458,254,79,333,0.2056825201,0.1568869673,535,145,680,0.1938979184,0.1525520388,174,55,229,0.1852750809,0.7598253275,443,82,525,0.2365930599,0.8438095238,170,28,198,0.2305005821,0.8585858586,131,40,171,0.2192307692,0.7660818713,106,9,115,0.2207293666,0.9217391304,72,12,84,0.2339832869,0.8571428571,52,4,56,0.2557077626,0.9285714286
30-39,569,236,805,0.1722662101,0.7068322981,921,409,1330,0.1724137931,0.692481203,733,186,919,0.1770712909,0.7976060936,616,168,784,0.1801470588,0.7857142857,0,0,,,,242,55,297,0.157309322,0.1281779661,221,57,278,0.1717109327,0.1365040148,463,112,575,0.1639577987,0.1320216709,123,45,168,0.1359223301,0.7321428571,362,54,416,0.1874718342,0.8701923077,115,20,135,0.1571594878,0.8518518519,87,33,120,0.1538461538,0.725,63,20,83,0.1593090211,0.7590361446,53,13,66,0.1838440111,0.803030303,42,7,49,0.2237442922,0.8571428571
40-49,309,121,430,0.0920179756,0.7186046512,334,166,500,0.0648172155,0.668,245,53,298,0.0574181118,0.822147651,189,48,237,0.0544577206,0.7974683544,0,0,,,,53,12,65,0.0344279661,0.0280720339,61,17,78,0.0481778876,0.0376775788,114,29,143,0.0407755917,0.0325064157,42,17,59,0.0477346278,0.7118644068,101,19,120,0.0540784137,0.8416666667,37,7,44,0.0512223516,0.8409090909,18,10,28,0.0358974359,0.6428571429,15,7,22,0.0422264875,0.6818181818,16,2,18,0.0501392758,0.8888888889,12,2,14,0.0639269406,0.8571428571
50+,122,55,177,0.0378771667,0.6892655367,135,72,207,0.0268343272,0.652173913,83,24,107,0.0206165703,0.7757009346,56,20,76,0.0174632353,0.7368421053,0,0,,,,14,10,24,0.0127118644,0.0074152542,22,5,27,0.0166769611,0.013588635,36,15,51,0.0145423439,0.0102651839,18,3,21,0.0169902913,0.8571428571,21,7,28,0.0126182965,0.75,10,3,13,0.0151338766,0.7692307692,7,1,8,0.0102564103,0.875,6,1,7,0.0134357006,0.8571428571,4,0,4,0.0111420613,1,0,1,1,0.00456621,0
