campus,status,below100,b100percent,above100,a100percent,total,totpercent
Cascade,Full-Time,14,0.2153846154,10,0.4545454545,24,0.275862069
,Part-Time,51,0.7846153846,12,0.5454545455,63,0.724137931
,Total,65,,22,,87,
Sylvania,Full-Time,24,0.2448979592,22,0.3666666667,46,0.2911392405
,Part-Time,74,0.7551020408,38,0.6333333333,112,0.7088607595
,Total,98,,60,,158,
Rock Creek,Full-Time,15,0.1546391753,51,0.51,66,0.3350253807
,Part-Time,82,0.8453608247,49,0.49,131,0.6649746193
,Total,97,,100,,197,
Southeast,Full-Time,7,0.1891891892,6,0.6666666667,13,0.2826086957
,Part-Time,30,0.8108108108,3,0.3333333333,33,0.7173913043
,Total,37,,9,,46,
