campus,status,below100,b100percent,above100,a100percent,total,totpercent
Cascade,Full-Time,16,0.2711864407,11,0.4230769231,27,0.3176470588
,Part-Time,43,0.7288135593,15,0.5769230769,58,0.6823529412
,Total,59,,26,,85,
Sylvania,Full-Time,21,0.2530120482,31,0.5849056604,52,0.3823529412
,Part-Time,62,0.7469879518,22,0.4150943396,84,0.6176470588
,Total,83,,53,,136,
Rock Creek,Full-Time,12,0.1463414634,21,0.4285714286,33,0.2519083969
,Part-Time,70,0.8536585366,28,0.5714285714,98,0.7480916031
,Total,82,,49,,131,
Southeast,Full-Time,8,0.2105263158,3,0.2727272727,11,0.2244897959
,Part-Time,30,0.7894736842,8,0.7272727273,38,0.7755102041
,Total,38,,11,,49,
