campus,status,below100,b100percent,above100,a100percent,total,totpercent
Cascade,Full-Time,0,0,0,0,0,0
,Part-Time,29,1,14,1,43,1
,Total,29,,14,,43,
Sylvania,Full-Time,0,0,3,0.0882352941,3,0.0405405405
,Part-Time,40,1,31,0.9117647059,71,0.9594594595
,Total,40,,34,,74,
Rock Creek,Full-Time,2,0.05,1,0.0322580645,3,0.0422535211
,Part-Time,38,0.95,30,0.9677419355,68,0.9577464789
,Total,40,,31,,71,
South East,Full-Time,8,0.25,1,0.25,9,0.25
,Part-Time,24,0.75,3,0.75,27,0.75
,Total,32,,4,,36,
