campus,status,below100,b100percent,above100,a100percent,total,totpercent
Cascade,Full-Time,18,0.2903225806,8,0.32,26,0.2988505747
,Part-Time,44,0.7096774194,17,0.68,61,0.7011494253
,Total,62,,25,,87,
Sylvania,Full-Time,24,0.2580645161,35,0.5555555556,59,0.3782051282
,Part-Time,69,0.7419354839,28,0.4444444444,97,0.6217948718
,Total,93,,63,,156,
Rock Creek,Full-Time,15,0.1546391753,27,0.4909090909,42,0.2763157895
,Part-Time,82,0.8453608247,28,0.5090909091,110,0.7236842105
,Total,97,,55,,152,
South East,Full-Time,9,0.2368421053,4,0.5714285714,13,0.2888888889
,Part-Time,29,0.7631578947,3,0.4285714286,32,0.7111111111
,Total,38,,7,,45,
