Term,AY,DL_CRNS,F2F_CRNS,All_CRNS,DL_Enrollments,F2F_Enrollments,All_Enrollments,Perc_DL_CRNS,Perc_DL_Enrollments,020_DL_Pass_Rate,020_F2F_Pass_Rate,030_DL_Pass_Rate,030_F2F_Pass_Rate,060_DL_Pass_Rate,060_F2F_Pass_Rate,065_DL_Pass_Rate,065_F2F_Pass_Rate,070_DL_Pass_Rate,070_F2F_Pass_Rate,084_DL_Pass_Rate,084_F2F_Pass_Rate,095_DL_Pass_Rate,095_F2F_Pass_Rate,111_DL_Pass_Rate,111_F2F_Pass_Rate,112_DL_Pass_Rate,112_F2F_Pass_Rate,241_DL_Pass_Rate,241_F2F_Pass_Rate,243_DL_Pass_Rate,243_F2F_Pass_Rate,244_DL_Pass_Rate,244_F2F_Pass_Rate
U11,NaN,36,167,203,1147,4202,5349,0.177339901,0.214432604,0.52173913,0.652173913,#DIV/0!,#DIV/0!,0.367768595,0.609589041,0.624,0.698039216,0.404255319,0.726315789,#DIV/0!,#DIV/0!,0.689393939,0.632462687,0.520408163,0.741772152,0.448275862,0.691428571,#DIV/0!,0.842105263,0.710526316,0.856573705,0.686868687,0.842857143
F11,NaN,43,399,442,1566,11611,13177,0.097285068,0.118843439,0.5625,0.638449771,0.571428571,#DIV/0!,0.481132075,0.662151703,0.528688525,0.663436123,0.307692308,0.673913043,#DIV/0!,#DIV/0!,0.537634409,0.645653616,0.385964912,0.623777276,0.403508772,0.609756098,#DIV/0!,0.681818182,0.584415584,0.753424658,0.769230769,0.789189189
W12,NaN,48,403,451,1565,11679,13244,0.106430155,0.118166717,0.51497006,0.584133077,0.555555556,#DIV/0!,0.456632653,0.633212414,0.505405405,0.690715884,0.404761905,0.666666667,0.6875,#DIV/0!,0.54676259,0.626648161,0.296296296,0.657094595,0.517241379,0.61023622,#DIV/0!,#DIV/0!,0.598684211,0.761310452,0.710144928,0.752173913
S12,NaN,46,377,423,1563,10625,12188,0.108747045,0.128240893,0.432258065,0.526054591,0.37037037,#DIV/0!,0.413301663,0.552922591,0.51572327,0.593249428,0.418604651,0.614349776,0.952380952,#DIV/0!,0.473684211,0.623507228,0.297029703,0.600833333,0.465517241,0.677824268,#DIV/0!,0.541666667,0.695652174,0.722891566,0.609195402,0.820512821
U12,NaN,39,168,207,1148,4026,5174,0.188405797,0.221878624,0.569444444,0.591517857,#DIV/0!,#DIV/0!,0.472727273,0.603896104,0.563559322,0.706237425,0.488888889,0.671232877,0.642857143,#DIV/0!,0.530612245,0.6875,0.386792453,0.655367232,0.490566038,0.713541667,#DIV/0!,0.59375,0.659259259,0.788288288,0.707692308,0.75862069
F12,NaN,49,394,443,1605,11437,13042,0.110609481,0.123063947,0.504672897,0.635503617,0.571428571,#DIV/0!,0.463529412,0.639502208,0.527586207,0.609177215,0.440677966,0.653958944,0.5,#DIV/0!,0.435483871,0.653225806,0.454545455,0.582212257,0.463768116,0.651020408,#DIV/0!,0.846153846,0.556756757,0.774011299,0.719298246,0.746987952
W13,NaN,50,377,427,1578,10945,12523,0.117096019,0.126008145,0.493333333,0.571016583,0.4,#DIV/0!,0.449350649,0.625886525,0.533923304,0.65793967,0.580645161,0.758007117,0.705882353,#DIV/0!,0.517241379,0.62066365,0.395,0.58808933,0.535714286,0.628450106,#DIV/0!,#DIV/0!,0.634285714,0.774257426,0.75,0.881355932
S13,NaN,52,354,406,1586,9873,11459,0.128078818,0.138406493,0.464285714,0.585877863,0.48,#DIV/0!,0.378378378,0.597693786,0.498281787,0.62545676,0.403225806,0.647368421,0.6,#DIV/0!,0.397129187,0.591505309,0.467889908,0.55615942,0.440677966,0.649651972,#DIV/0!,#DIV/0!,0.66025641,0.730769231,0.648648649,0.88185654
U13,NaN,36,142,178,1136,2965,4101,0.202247191,0.277005608,0.435114504,0.537084399,#DIV/0!,#DIV/0!,0.390041494,0.593984962,0.538135593,0.666666667,#DIV/0!,0.590909091,#DIV/0!,#DIV/0!,0.516949153,0.694390716,0.419117647,0.661504425,0.418181818,0.769230769,#DIV/0!,0.761904762,0.633093525,0.69005848,0.775,0.822580645
NaN,2007/08,87,967,1054,2323,23230,25553,0.082542694,0.090909091,0.701107011,0.650589496,0.763157895,0.838709677,0.57319224,0.634670487,0.602352941,0.69125112,0.38317757,0.701688555,#DIV/0!,#DIV/0!,0.530674847,0.681954138,0.453416149,0.722999223,0.564705882,0.657178218,0.846153846,0.862745098,0.683257919,0.788606726,0.688073394,0.853741497
NaN,2008/09,98,1071,1169,2896,27622,30518,0.083832335,0.094894816,0.667613636,0.645793629,0.8,0.923076923,0.502890173,0.643012189,0.638671875,0.69095092,0.431952663,0.662251656,#DIV/0!,#DIV/0!,0.482014388,0.665914221,0.509708738,0.711811569,0.510204082,0.690140845,#DIV/0!,0.82,0.658146965,0.766852195,0.672131148,0.8272
NaN,2009/10,134,1223,1357,4600,33960,38560,0.098747237,0.119294606,0.60460251,0.619659019,0.614035088,#DIV/0!,0.488519398,0.638801045,0.621394231,0.66266531,0.420118343,0.701149425,#DIV/0!,#DIV/0!,0.55475763,0.675751223,0.476309227,0.741530374,0.513888889,0.629230769,0.923076923,0.701754386,0.659574468,0.779811715,0.735483871,0.824133504
NaN,2010/11,156,1301,1457,4946,35271,40217,0.107069321,0.122982818,0.590116279,0.616036506,0.596774194,#DIV/0!,0.469013007,0.623392613,0.620041754,0.673440644,0.422222222,0.68,0.571428571,#DIV/0!,0.590673575,0.650576677,0.407834101,0.693376068,0.437788018,0.627034678,#DIV/0!,0.86440678,0.662207358,0.782146652,0.764444444,0.773584906
NaN,2011/12,176,1347,1523,5842,37955,43797,0.115561392,0.133388132,0.504219409,0.591777649,0.485294118,#DIV/0!,0.456118665,0.620580475,0.524828767,0.653250774,0.401098901,0.658366534,0.784313725,#DIV/0!,0.520995334,0.63733863,0.342592593,0.630537229,0.461928934,0.642111725,#DIV/0!,0.602564103,0.634551495,0.750986193,0.695652174,0.785007072
NaN,2012/13,187,1267,1454,5905,35049,40954,0.128610729,0.14418616,0.470588235,0.596582306,0.478873239,#DIV/0!,0.42505278,0.621929825,0.524221453,0.636274893,0.453947368,0.683411215,0.628571429,#DIV/0!,0.460893855,0.629351266,0.436170213,0.585669023,0.464435146,0.657560356,#DIV/0!,0.808510638,0.618320611,0.752750434,0.724381625,0.841121495
