Term,CRN,Subj,Crse,Title,Campus,Enrollment,%Passing,A,B,C,P,D,F,NP,W,Other,ITV,TV,WEB,CLWEB,TVWEB
F07,40178,MTH,60,Introductory Algebra- 1st Term,3,31,64.50%,9,7,4,0,0,1,0,9,1,0,0,0,0,0
F07,40179,MTH,60,Introductory Algebra- 1st Term,3,30,80.00%,10,8,6,0,2,2,0,2,0,0,0,0,0,0
F07,40180,MTH,95,Intermediate Algebra,3,12,66.70%,0,4,4,0,2,0,0,2,0,0,0,0,0,0
F07,40181,MTH,95,Intermediate Algebra,3,30,66.70%,6,6,8,0,7,1,0,2,0,0,0,0,0,0
F07,40182,MTH,95,Intermediate Algebra,3,27,70.40%,6,5,8,0,4,1,0,2,1,0,0,0,0,0
F07,40183,MTH,95,Intermediate Algebra,3,20,90.00%,9,7,2,0,1,0,0,1,0,0,0,0,0,0
F07,40556,MTH,65,Introductory Algebra-2nd Term,4,17,82.40%,10,2,2,0,1,2,0,0,0,0,0,0,0,0
F07,40557,MTH,60,Introductory Algebra- 1st Term,4,31,67.70%,9,4,8,0,2,0,5,3,0,0,0,0,0,0
F07,40571,MTH,95,Intermediate Algebra,4,22,77.30%,4,6,6,1,1,2,0,2,0,0,0,0,0,0
F07,40604,MTH,95,Intermediate Algebra,4,16,56.30%,0,7,2,0,0,1,2,4,0,0,0,0,0,0
F07,40606,MTH,60,Introductory Algebra- 1st Term,1,30,63.30%,3,7,8,1,5,5,0,0,1,0,0,0,0,0
F07,40679,MTH,112,Elementary Functions,3,20,45.00%,4,1,4,0,3,2,1,5,0,0,0,0,0,0
F07,40734,MTH,261,Applied Linear Algebra I,1,20,85.00%,4,7,6,0,2,0,0,1,0,0,0,0,0,0
F07,40735,MTH,60,Introductory Algebra- 1st Term,1,38,55.30%,7,4,9,1,2,3,1,11,0,0,1,0,0,0
F07,40779,MTH,251,Calculus I,3,23,65.20%,7,4,3,1,4,4,0,0,0,0,0,0,0,0
F07,40928,MTH,30,Business Mathematics,1,20,85.00%,7,7,3,0,0,0,0,3,0,0,0,0,0,0
F07,40981,MTH,93,Intro TI Graphics Calculator,2,11,90.90%,0,0,0,10,0,0,0,1,0,0,0,0,0,0
F07,41016,MTH,60,Introductory Algebra- 1st Term,1,34,55.90%,7,6,6,0,5,1,2,6,1,0,0,0,0,0
F07,41017,MTH,60,Introductory Algebra- 1st Term,3,30,56.70%,3,5,9,0,5,0,0,7,1,0,0,0,0,0
F07,41025,MTH,111C,"Col Alg for Math,Science,Engin",1,11,72.70%,3,3,2,0,1,0,0,2,0,0,0,0,0,0
F07,41026,MTH,111B,"Col Alg-Bus,Mgmt,Life, Soc Sci",1,26,65.40%,3,9,5,0,5,2,1,1,0,0,0,0,0,0
F07,41027,MTH,111A,College Algebra/Liberal Arts,1,18,83.30%,9,4,2,0,1,0,0,2,0,0,0,0,0,0
F07,41028,MTH,111C,"Col Alg for Math,Science,Engin",1,30,70.00%,5,13,3,0,1,5,0,3,0,0,0,0,0,0
F07,41030,MTH,111C,"Col Alg for Math,Science,Engin",1,21,57.10%,1,6,5,0,3,1,0,5,0,0,0,1,0,0
F07,41046,MTH,60,Introductory Algebra- 1st Term,4,34,55.90%,10,6,3,0,4,6,0,2,3,0,0,0,0,0
F07,41080,MTH,111B,"Col Alg-Bus,Mgmt,Life, Soc Sci",3,33,78.80%,9,9,7,1,5,1,0,1,0,0,0,0,0,0
F07,41081,MTH,111C,"Col Alg for Math,Science,Engin",3,35,54.30%,5,6,8,0,4,3,4,2,3,0,0,0,0,0
F07,41082,MTH,111C,"Col Alg for Math,Science,Engin",3,21,81.00%,8,8,1,0,1,1,0,2,0,0,0,0,0,0
F07,41083,MTH,111C,"Col Alg for Math,Science,Engin",3,31,67.70%,11,5,4,1,5,0,3,1,1,0,0,0,0,0
F07,41084,MTH,111C,"Col Alg for Math,Science,Engin",3,21,61.90%,4,6,3,0,0,1,1,6,0,0,0,0,0,0
F07,41090,MTH,61,Introductory Algebra-Part I,2,26,65.40%,5,8,4,0,1,4,2,2,0,0,0,0,0,0
F07,41092,MTH,111B,"Col Alg-Bus,Mgmt,Life, Soc Sci",2,36,91.70%,15,14,4,0,0,2,0,1,0,0,0,0,0,0
F07,41093,MTH,111C,"Col Alg for Math,Science,Engin",2,41,85.40%,23,11,1,0,0,1,3,2,0,0,0,0,0,0
F07,41184,MTH,60,Introductory Algebra- 1st Term,1,35,54.30%,4,5,10,0,3,5,0,7,1,0,0,0,0,0
F07,41185,MTH,243,Statistics I,1,23,82.60%,6,8,5,0,3,1,0,0,0,0,0,0,0,0
F07,41189,MTH,111C,"Col Alg for Math,Science,Engin",1,20,55.00%,2,6,3,0,3,4,1,1,0,0,0,0,0,0
F07,41190,MTH,65,Introductory Algebra-2nd Term,1,29,51.70%,9,3,3,0,1,0,7,6,0,0,0,0,0,0
F07,41228,MTH,256,Differential Equations,1,19,73.70%,4,6,4,0,0,0,1,2,2,0,0,0,0,0
F07,41248,MTH,243,Statistics I,3,30,80.00%,6,12,6,0,0,1,0,4,1,0,0,0,0,0
F07,41249,MTH,253,Calculus III,3,20,85.00%,5,9,3,0,2,1,0,0,0,0,0,0,0,0
F07,41251,MTH,251,Calculus I,3,27,85.20%,9,11,3,0,0,2,0,1,1,0,0,0,0,0
F07,41252,MTH,112,Elementary Functions,3,11,72.70%,1,5,2,0,0,3,0,0,0,0,0,0,0,0
F07,41253,MTH,65,Introductory Algebra-2nd Term,3,33,75.80%,13,5,7,0,1,3,2,2,0,0,0,0,0,0
F07,41254,MTH,243,Statistics I,3,30,73.30%,5,8,9,0,4,1,0,3,0,0,0,0,0,0
F07,41255,MTH,111B,"Col Alg-Bus,Mgmt,Life, Soc Sci",3,19,68.40%,2,6,5,0,2,3,0,1,0,0,0,0,0,0
F07,41256,MTH,65,Introductory Algebra-2nd Term,3,25,80.00%,4,8,8,0,1,1,1,2,0,0,0,0,0,0
F07,41315,MTH,70,Review of Intro Algebra,3,37,62.20%,8,8,7,0,2,8,0,4,0,0,0,0,0,0
F07,41319,MTH,243,Statistics I,1,22,45.50%,2,4,4,0,5,7,0,0,0,0,0,0,0,0
F07,41320,MTH,65,Introductory Algebra-2nd Term,1,15,60.00%,3,4,2,0,3,1,0,2,0,0,0,0,0,0
F07,41321,MTH,241,"Calc for Mgmt, Life/Social Sci",1,13,84.60%,5,1,5,0,0,0,0,2,0,1,0,0,0,0
F07,41376,MTH,111B,"Col Alg-Bus,Mgmt,Life, Soc Sci",1,17,76.50%,5,6,2,0,1,3,0,0,0,0,0,0,0,0
F07,41377,MTH,243,Statistics I,1,25,76.00%,9,6,4,0,1,3,0,1,1,0,0,0,0,0
F07,41393,MTH,60,Introductory Algebra- 1st Term,3,36,47.20%,3,6,8,0,6,10,1,2,0,0,0,0,0,0
F07,41394,MTH,60,Introductory Algebra- 1st Term,3,26,69.20%,10,4,4,0,3,0,0,5,0,0,0,0,0,0
F07,41397,MTH,65,Introductory Algebra-2nd Term,3,30,63.30%,4,6,9,0,1,4,0,6,0,0,0,0,0,0
